,0,1
0,facebook,31
1,data,27
2,cambridge,17
3,analytica,16
4,users,14
5,aggregateiq,11
6,said,9
7,privacy,8
8,news,8
9,page,8
10,company,8
11,campaign,7
12,million,7
13,political,7
14,improperly,7
15,sen,6
16,ads,6
17,may,6
18,information,6
19,could,6
20,consent,5
21,sunday,5
22,power,5
23,internet,5
24,share,5
25,house,5
26,white,5
27,clients,5
28,union,5
29,personal,5
30,like,5
31,received,5
32,get,5
33,says,5
34,would,5
35,adviser,5
36,wednesday,5
37,people,5
38,new,4
39,rather,4
40,cofounder,4
41,companies,4
42,canadian,4
43,app,4
44,feedback,4
45,kudlow,4
46,zittrain,4
47,interests,4
48,interested,4
49,access,4
50,tell,4
51,think,4
52,home,4
53,whether,4
54,twitter,4
55,edt,4
56,given,4
57,wylie,4
58,patients,3
59,even,3
60,legal,3
61,european,3
62,doesnt,3
63,part,3
64,british,3
65,opinion,3
66,center,3
67,others,3
68,firm,3
69,law,3
70,friends,3
71,hands,3
72,christopher,3
73,millions,3
74,media,3
75,consultancy,3
76,pressapril,3
77,zuckerberg,3
78,reports,3
79,public,3
80,trumps,3
81,user,3
82,say,3
83,way,3
84,suspended,3
85,associated,3
86,worked,3
87,scl,3
88,shared,3
89,stop,3
90,jonathan,2
91,incompatible,2
92,steven,2
93,homeland,2
94,know,2
95,treasury,2
96,klein,2
97,immediately,2
98,times,2
99,thomas,2
100,including,2
101,individuals,2
102,john,2
103,things,2
104,interest,2
105,technologies,2
106,harvard,2
107,susan,2
108,investigate,2
109,kennedy,2
110,joe,2
111,professionals,2
112,groups,2
113,used,2
114,facebooks,2
115,doctors,2
116,york,2
117,donald,2
118,economic,2
119,years,2
120,ended,2
121,ethically,2
122,work,2
123,example,2
124,face,2
125,without,2
126,week,2
127,guest,2
128,fiduciary,2
129,find,2
130,first,2
131,fox,2
132,friday,2
133,washington,2
134,future,2
135,violations,2
136,using,2
137,graham,2
138,larry,2
139,statement,2
140,society,2
141,state,2
142,relationship,2
143,rsd,2
144,otherwise,2
145,rsc,2
146,outside,2
147,rounds,2
148,parent,2
149,park,2
150,dmd,2
151,rmaine,2
152,rla,2
153,rep,2
154,percent,2
155,one,2
156,question,2
157,pervasive,2
158,platform,2
159,playbook,2
160,please,2
161,protecting,2
162,profiling,2
163,practices,2
164,president,2
165,press,2
166,profiles,2
167,online,2
168,often,2
169,something,2
170,might,2
171,professor,2
172,limit,2
173,shows,2
174,lindsey,2
175,lineups,2
176,lots,2
177,making,2
178,several,2
179,meet,2
180,menlo,2
181,michael,2
182,serve,2
183,newsletter,2
184,sens,2
185,see,2
186,mining,2
187,mnuchin,2
188,security,2
189,model,2
190,must,2
191,nation,2
192,nbcs,2
193,secretary,2
194,second,2
195,dny,2
196,abcs,2
197,britain,2
198,controls,2
199,cardin,2
200,advertising,2
201,cbs,2
202,big,2
203,better,2
204,change,2
205,agency,2
206,counterterrorism,2
207,berkman,2
208,collins,2
209,collect,2
210,crowley,2
211,cnns,2
212,also,2
213,ben,2
214,available,2
215,core,2
216,amid,2
217,ask,2
218,actions,2
219,bossert,2
220,author,2
221,abuse,2
222,congress,2
223,rolling,1
224,role,1
225,serving,1
226,robot,1
227,server,1
228,behind,1
229,behavior,1
230,believe,1
231,rights,1
232,right,1
233,assumption,1
234,set,1
235,began,1
236,review,1
237,reutersapril,1
238,reuters,1
239,retract,1
240,result,1
241,respond,1
242,shake,1
243,respected,1
244,shape,1
245,researchers,1
246,researcher,1
247,begin,1
248,select,1
249,rules,1
250,sense,1
251,autonomy,1
252,avoid,1
253,section,1
254,secrets,1
255,bad,1
256,balkin,1
257,searching,1
258,authorities,1
259,sea,1
260,scrutable,1
261,scrape,1
262,scooped,1
263,seemed,1
264,ball,1
265,science,1
266,sensitive,1
267,requiring,1
268,scholar,1
269,scandal,1
270,based,1
271,basic,1
272,saturday,1
273,separately,1
274,san,1
275,become,1
276,beneficially,1
277,requests,1
278,publicize,1
279,provincial,1
280,protection,1
281,billion,1
282,promises,1
283,prohibitive,1
284,profitability,1
285,billions,1
286,bind,1
287,profile,1
288,blowback,1
289,blue,1
290,process,1
291,probrexit,1
292,boon,1
293,prioritized,1
294,print,1
295,previously,1
296,previous,1
297,pressure,1
298,boring,1
299,presidential,1
300,boundary,1
301,premised,1
302,predict,1
303,box,1
304,boxes,1
305,posterity,1
306,possibly,1
307,possess,1
308,psychological,1
309,purpose,1
310,representing,1
311,push,1
312,reporting,1
313,repeatedly,1
314,aspects,1
315,removing,1
316,bengalur,1
317,reinhold,1
318,regulatory,1
319,regulation,1
320,referendum,1
321,reenter,1
322,reduce,1
323,records,1
324,record,1
325,recommend,1
326,recognize,1
327,recent,1
328,receive,1
329,reason,1
330,really,1
331,real,1
332,raw,1
333,betray,1
334,raman,1
335,rama,1
336,radar,1
337,quiztakers,1
338,quit,1
339,quietly,1
340,questions,1
341,assess,1
342,skills,1
343,shareholder,1
344,agenda,1
345,wagons,1
346,voting,1
347,votes,1
348,voters,1
349,voter,1
350,voted,1
351,vote,1
352,voluntarily,1
353,visited,1
354,views,1
355,view,1
356,victoriabased,1
357,verify,1
358,venkat,1
359,ago,1
360,tuesday,1
361,ahead,1
362,aimed,1
363,updates,1
364,unusual,1
365,unsettling,1
366,united,1
367,allow,1
368,understanding,1
369,typically,1
370,type,1
371,along,1
372,tweeted,1
373,tweaked,1
374,turnout,1
375,walled,1
376,africanamerican,1
377,affiliated,1
378,website,1
379,youth,1
380,youre,1
381,accused,1
382,acknowledged,1
383,across,1
384,wrongly,1
385,write,1
386,act,1
387,worst,1
388,worry,1
389,worlds,1
390,world,1
391,added,1
392,wont,1
393,address,1
394,within,1
395,wield,1
396,whose,1
397,whos,1
398,whomever,1
399,whoever,1
400,adoption,1
401,whistleblowers,1
402,whistleblower,1
403,advances,1
404,weve,1
405,werent,1
406,welltrained,1
407,advertisingbased,1
408,turning,1
409,trying,1
410,sharply,1
411,approaches,1
412,targeted,1
413,target,1
414,take,1
415,system,1
416,sway,1
417,anything,1
418,apologize,1
419,supported,1
420,approach,1
421,subscriber,1
422,subscribe,1
423,streams,1
424,strategic,1
425,store,1
426,still,1
427,try,1
428,apps,1
429,states,1
430,argued,1
431,around,1
432,started,1
433,spend,1
434,specialized,1
435,artificial,1
436,social,1
437,snake,1
438,populated,1
439,similar,1
440,sign,1
441,asking,1
442,technical,1
443,anyone,1
444,answers,1
445,terms,1
446,trust,1
447,troubling,1
448,troubles,1
449,treats,1
450,traveled,1
451,traffic,1
452,trade,1
453,toward,1
454,toss,1
455,toni,1
456,told,1
457,today,1
458,titans,1
459,among,1
460,ties,1
461,tied,1
462,thus,1
463,thursday,1
464,threat,1
465,thousands,1
466,though,1
467,analyticas,1
468,announced,1
469,answer,1
470,thing,1
471,theyll,1
472,theyd,1
473,theres,1
474,testify,1
475,position,1
476,disperse,1
477,polluted,1
478,current,1
479,counterpart,1
480,credulous,1
481,hit,1
482,hired,1
483,hes,1
484,help,1
485,hearings,1
486,hasnt,1
487,harmless,1
488,harmful,1
489,harder,1
490,hardball,1
491,cure,1
492,handful,1
493,growth,1
494,hundreds,1
495,growing,1
496,currently,1
497,group,1
498,great,1
499,grasp,1
500,dates,1
501,government,1
502,got,1
503,david,1
504,getting,1
505,day,1
506,genuinely,1
507,geared,1
508,gardens,1
509,humble,1
510,ideas,1
511,brexit,1
512,instagram,1
513,investigations,1
514,investigating,1
515,continues,1
516,invalid,1
517,intimately,1
518,contractor,1
519,international,1
520,internal,1
521,contribute,1
522,convincingly,1
523,intense,1
524,intelligence,1
525,instantly,1
526,install,1
527,ingram,1
528,identifiable,1
529,cooperate,1
530,inferences,1
531,industry,1
532,copying,1
533,indeed,1
534,increased,1
535,cost,1
536,incentives,1
537,inc,1
538,improve,1
539,count,1
540,counted,1
541,identities,1
542,identify,1
543,deal,1
544,funders,1
545,fully,1
546,efforts,1
547,devolution,1
548,dialogue,1
549,ethical,1
550,estimate,1
551,estate,1
552,especially,1
553,entities,1
554,enjoy,1
555,didnt,1
556,encourage,1
557,employed,1
558,email,1
559,elections,1
560,election,1
561,education,1
562,front,1
563,difference,1
564,editing,1
565,ecosystem,1
566,digital,1
567,easily,1
568,early,1
569,draw,1
570,dont,1
571,donate,1
572,digitally,1
573,domination,1
574,dogeared,1
575,dimensions,1
576,direction,1
577,devices,1
578,development,1
579,exchange,1
580,executive,1
581,decision,1
582,deflect,1
583,freedom,1
584,francisco,1
585,dehumanizes,1
586,formulas,1
587,follow,1
588,deleted,1
589,firms,1
590,deleting,1
591,fine,1
592,demand,1
593,file,1
594,fig,1
595,depress,1
596,fiduciaries,1
597,feel,1
598,feeds,1
599,derivatives,1
600,federal,1
601,favor,1
602,family,1
603,faith,1
604,design,1
605,designed,1
606,developer,1
607,expiration,1
608,expected,1
609,exit,1
610,invisible,1
611,involved,1
612,isnt,1
613,obtaining,1
614,options,1
615,opiniontim,1
616,opinions,1
617,opinionnoam,1
618,chance,1
619,openness,1
620,ongoing,1
621,onesizefitsall,1
622,changed,1
623,oil,1
624,changing,1
625,officials,1
626,offenses,1
627,ocean,1
628,obtained,1
629,navarro,1
630,obliged,1
631,nytopinion,1
632,number,1
633,nudge,1
634,nonpublic,1
635,next,1
636,newsletters,1
637,charged,1
638,charity,1
639,chief,1
640,never,1
641,needs,1
642,need,1
643,circling,1
644,optionsby,1
645,chairman,1
646,certain,1
647,outcry,1
648,policy,1
649,poison,1
650,points,1
651,doctor,1
652,broken,1
653,platforms,1
654,bulwark,1
655,places,1
656,place,1
657,photos,1
658,phenomenon,1
659,peter,1
660,business,1
661,peruse,1
662,personalized,1
663,calif,1
664,permission,1
665,permanent,1
666,californiabased,1
667,called,1
668,payment,1
669,calling,1
670,patient,1
671,canada,1
672,canadians,1
673,panic,1
674,paid,1
675,cause,1
676,outright,1
677,nave,1
678,clarifying,1
679,issued,1
680,laboratories,1
681,likes,1
682,likelihood,1
683,compelling,1
684,light,1
685,lies,1
686,let,1
687,less,1
688,computer,1
689,leaf,1
690,lawyers,1
691,lawmakers,1
692,configuration,1
693,last,1
694,lake,1
695,connected,1
696,name,1
697,knowledge,1
698,consider,1
699,considered,1
700,kept,1
701,consulting,1
702,keeping,1
703,keep,1
704,journalists,1
705,consumer,1
706,jointly,1
707,join,1
708,contacted,1
709,contemplate,1
710,jack,1
711,companys,1
712,communication,1
713,committee,1
714,able,1
715,classic,1
716,much,1
717,mostly,1
718,months,1
719,month,1
720,clicking,1
721,miss,1
722,coal,1
723,cofounded,1
724,cohen,1
725,military,1
726,collapse,1
727,columbia,1
728,columbias,1
729,means,1
730,meaningfully,1
731,comment,1
732,mark,1
733,commissioner,1
734,make,1
735,made,1
736,commit,1
737,lot,1
738,lose,1
739,looking,1
740,look,1
741,londonbased,1
742,locked,1
743,lives,1
744,list,1
