,0,1
0,cambridge,69811
1,analytica,65879
2,data,31784
3,facebook,31119
4,funded,26520
5,carolecadwalla,16825
6,breitbart,12441
7,bannon,11000
8,steve,10267
9,created,8971
10,proudresister,8830
11,secre,8812
12,weaponized,8806
13,amp,7487
14,firm,6604
15,aiq,6512
16,scandal,5445
17,mercer,4875
18,robert,4726
19,worked,4701
20,users,4605
21,million,4459
22,news,4440
23,whistleblower,4435
24,says,4292
25,chrisinsilico,4185
26,suspends,4053
27,evidence,3861
28,documents,3546
29,zuckerberg,3501
30,also,3295
31,bolton,3227
32,john,3191
33,aggregateiq,3172
34,mark,3158
35,parliament,2922
36,trump,2922
37,ties,2906
38,may,2899
39,could,2869
40,campaign,2823
41,elections,2822
42,company,2809
43,brexit,2660
44,people,2640
45,via,2635
46,questions,2627
47,vote,2605
48,heres,2544
49,video,2491
50,election,2481
51,know,2476
52,ukip,2380
53,even,2374
54,read,2364
55,datos,2355
56,que,2354
57,brexits,2344
58,trinity,2343
59,unholy,2343
60,httpstcopmiaouem,2342
61,paid,2295
62,wylie,2291
63,get,2144
64,targeted,2119
65,last,2080
66,used,2033
67,breach,2016
68,made,2007
69,link,2005
70,sandberg,2004
71,guardian,2002
72,leave,2001
73,key,1993
74,videos,1934
75,analyticas,1920
76,shocking,1916
77,owner,1913
78,dont,1907
79,racist,1901
80,ugh,1892
81,ugly,1891
82,muslimhating,1888
83,therynheart,1856
84,suspended,1844
85,implodes,1842
86,case,1797
87,sheryl,1747
88,story,1731
89,facebooks,1715
90,presented,1704
91,political,1648
92,bbc,1635
93,por,1628
94,states,1622
95,legal,1613
96,wont,1612
97,privacy,1611
98,america,1566
99,christopher,1554
100,group,1535
101,one,1519
102,cambridgeanalytica,1465
103,wikileaks,1458
104,russia,1458
105,new,1448
106,duterte,1446
107,going,1428
108,los,1423
109,received,1419
110,like,1394
111,theyve,1369
112,collection,1366
113,everytime,1347
114,sends,1339
115,helped,1337
116,crewcrew,1335
117,covertly,1334
118,castigating,1333
119,breaking,1322
120,bmalmet,1305
121,deep,1302
122,shared,1301
123,trumps,1288
124,facts,1265
125,big,1245
126,sam,1242
127,millions,1241
128,nee,1232
129,extensive,1223
130,hurdles,1219
131,win,1214
132,patten,1204
133,httpstcod,1198
134,willblackwriter,1169
135,ahamiltonspirit,1162
136,links,1157
137,far,1146
138,referendum,1120
139,justinhendrix,1111
140,day,1111
141,already,1090
142,look,1086
143,admits,1079
144,ask,1077
145,security,1075
146,job,1068
147,mil,1058
148,philippines,1043
149,time,1040
150,business,1035
151,check,1029
152,media,1021
153,come,1017
154,another,1014
155,operative,1002
156,russian,991
157,next,983
158,vickerysec,981
159,parent,976
160,usuarios,960
161,hired,957
162,alleged,948
163,mexicanos,946
164,alexander,942
165,information,941
166,asked,939
167,must,938
168,national,930
169,knew,916
170,better,913
171,channel,902
172,peterjukes,896
173,reporting,896
174,caso,888
175,republican,886
176,filtracin,881
177,canadian,877
178,years,875
179,improperly,872
180,government,869
181,testify,864
182,gop,861
183,staff,861
184,charlesmilander,860
185,access,858
186,well,857
187,andrewadonis,845
188,accessed,842
189,never,840
190,year,839
191,altright,830
192,background,823
193,voteleave,822
194,sto,819
195,nearly,809
196,former,809
197,would,806
198,impartially,806
199,anyone,804
200,analytics,804
201,affected,803
202,many,802
203,question,801
204,del,793
205,revealed,778
206,americans,778
207,according,775
208,said,767
209,ceo,763
210,hoy,757
211,trying,747
212,tha,739
213,watch,736
214,disturbing,725
215,second,724
216,leader,722
217,refuses,717
218,still,715
219,escndalo,712
220,committee,709
221,scare,707
222,spent,702
223,rvawonk,693
224,law,692
225,distribute,691
226,monday,686
227,congress,683
228,recent,683
229,let,683
230,profiles,680
231,profcarroll,675
232,natashabertrand,674
233,important,673
234,axios,671
235,jamesfourm,670
236,money,669
237,wcambridge,666
238,wendysiegelman,666
239,esto,666
240,damiancollins,664
241,shady,662
242,friendship,662
243,relation,661
244,true,659
245,pas,656
246,every,655
247,attack,654
248,personal,652
249,pac,646
250,really,646
251,idea,644
252,planned,637
253,hillary,632
254,confirm,630
255,might,629
256,else,628
257,thanks,628
258,millones,622
259,scl,621
260,contact,621
261,https,620
262,super,612
263,hijack,612
264,user,611
265,took,609
266,mxico,608
267,facebookcambridge,606
268,authoritarian,605
269,brutal,603
270,mining,602
271,clear,602
272,gave,602
273,tories,599
274,para,597
275,thewirein,597
276,gathered,594
277,hindus,593
278,con,592
279,ago,591
280,back,588
281,riturathaur,585
282,hanuman,584
283,insulting,583
284,subtly,582
285,funds,580
286,number,579
287,aggregate,578
288,aiqs,574
289,involvement,572
290,analyti,571
291,though,566
292,cnbc,562
293,hundreds,562
294,see,560
295,fake,559
296,partner,557
297,threatened,556
298,began,555
299,clairetyai,554
300,realdonaldtrump,551
301,billion,550
302,casi,547
303,clearance,547
304,remember,546
305,social,544
306,director,543
307,mikefarb,541
308,politics,538
309,published,537
310,hijacked,537
311,harvested,534
312,httpstco,532
313,illegally,529
314,acceso,529
315,unhackthevote,528
316,conversation,528
317,raheem,526
318,mostly,522
319,hugely,520
320,break,520
321,soon,517
322,whole,515
323,httpst,512
324,interview,510
325,tuvo,508
326,linked,507
327,est,507
328,wanted,505
329,becoming,504
330,file,503
331,sin,502
332,theresa,502
333,britain,499
334,wasnt,498
335,need,497
336,acces,497
337,witnesses,497
338,calling,496
339,writes,496
340,tras,496
341,force,490
342,indeed,490
343,todays,489
344,named,489
345,investigation,488
346,chief,487
347,include,486
348,tus,486
349,didnt,483
350,multiple,483
351,servers,483
352,thirdparty,481
353,elec,481
354,blimey,480
355,dcms,478
356,batch,477
357,bring,476
358,behold,476
359,guilty,474
360,midterm,474
361,obama,472
362,two,472
363,discovered,470
364,fbi,469
365,shows,469
366,includes,467
367,info,465
368,got,459
369,colluded,459
370,gaetasusan,456
371,compromised,454
372,cuentas,454
373,interesting,453
374,using,453
375,put,453
376,publication,452
377,accounts,452
378,probably,452
379,heart,451
380,known,450
381,les,449
382,enmeshed,448
383,much,447
384,afectadas,446
385,something,445
386,rodrigo,440
387,find,434
388,pass,433
389,international,430
390,thousands,429
391,nix,429
392,backed,428
393,outrage,427
394,crucial,424
395,looking,424
396,way,424
397,points,423
398,secretive,421
399,zuck,421
400,bankrolling,419
401,misused,419
402,work,419
403,influential,418
404,theres,418
405,beleave,417
406,navy,415
407,candidates,415
408,gone,415
409,jolyonmaugham,413
410,implicated,413
411,president,412
412,whether,412
413,suit,409
414,thinkprogress,408
415,latest,408
416,romney,408
417,veterans,407
418,pls,407
419,knpbp,407
420,bored,407
421,argentinas,406
422,wfake,406
423,hubo,406
424,inadvertido,405
425,javiernavia,405
426,defamation,404
427,politico,404
428,think,401
429,cbc,401
430,tactics,401
431,abundantly,400
432,youll,399
433,farright,397
434,coo,396
435,happened,395
436,part,393
437,boss,389
438,helpful,388
439,influence,387
440,problem,387
441,anything,387
442,canadas,385
443,role,385
444,amount,384
445,lawsuit,384
446,needs,384
447,broadcaster,384
448,murder,383
449,american,383
450,counting,381
451,youre,381
452,citizens,381
453,ethics,380
454,whose,379
455,topped,379
456,swept,378
457,discovers,376
458,plans,375
459,set,374
460,congressional,370
461,hackers,369
462,cambri,369
463,say,369
464,make,368
465,veteran,368
466,voters,367
467,cambridg,366
468,use,365
469,alongside,365
470,believes,364
471,youtube,364
472,claims,363
473,funder,362
474,podra,361
475,outcome,361
476,tech,360
477,cnn,360
478,newyorker,359
479,lot,359
480,keep,358
481,filed,357
482,denies,356
483,thedailyedge,355
484,donnes,355
485,torshin,354
486,testified,354
487,carpet,353
488,tells,353
489,probe,352
490,tainted,352
491,como,351
492,islwynpaul,351
493,employee,350
494,founder,350
495,inai,348
496,established,346
497,london,346
498,answer,345
499,mueller,345
500,want,343
501,almost,342
502,manipulator,342
503,terrifying,341
504,bbcn,341
505,criminal,340
506,please,340
507,issue,339
508,emerdata,339
509,appear,339
510,mensajes,339
511,afectados,338
512,propaganda,338
513,burned,338
514,banned,338
515,nsc,337
516,bdomenech,336
517,investigations,335
518,peter,334
519,npr,334
520,murdered,333
521,thread,332
522,attention,330
523,spending,330
524,democratic,328
525,louisebagshawe,326
526,nigeria,325
527,tory,325
528,alive,324
529,talk,324
530,inform,323
531,lies,323
532,downplayed,323
533,take,322
534,fir,322
535,significance,322
536,whats,321
537,suspected,321
538,article,321
539,found,321
540,aka,318
541,cnnbrk,318
542,since,318
543,longtime,317
544,erik,317
545,intelligence,317
546,escaneando,317
547,death,315
548,macheted,314
549,democracy,313
550,right,313
551,faceblock,313
552,elected,312
553,boycott,312
554,targeting,312
555,ooshdesign,311
556,week,310
557,citizensfedup,309
558,raissawriter,309
559,urges,309
560,docrocktex,308
561,advertisers,308
562,johnwesleyshipp,307
563,garyarsp,307
564,bosslady,307
565,jonnachissus,307
566,bklyndin,307
567,bigger,307
568,connection,306
569,httpstcoqwxdleeu,306
570,johnson,306
571,went,306
572,real,306
573,exposed,304
574,notifying,304
575,ethical,303
576,spin,303
577,investigate,302
578,investigating,302
579,faci,301
580,came,300
581,socialistvoice,300
582,things,299
583,accin,299
584,survey,299
585,demandan,299
586,absolutely,299
587,germany,299
588,midterms,298
589,starting,298
590,harris,298
591,massive,298
592,admit,297
593,hide,297
594,cambridgeanalyti,297
595,times,297
596,amid,297
597,europeans,297
598,tough,296
599,explain,295
600,cnnee,295
601,afd,295
602,thing,295
603,bbcnews,294
604,stollmeyereu,294
605,ganar,294
606,headsup,294
607,accessing,294
608,wants,294
609,negocio,293
610,first,293
611,piece,293
612,campaigns,292
613,buen,292
614,delegado,291
615,publicitario,291
616,consejero,291
617,httpstcofyduwb,291
618,aparta,291
619,pegar,291
620,bocado,291
621,httpstcoyhfvpblg,291
622,good,290
623,jonathan,288
624,prince,287
625,speak,286
626,third,286
627,stupidity,285
628,critical,285
629,cruz,285
630,cover,285
631,donald,284
632,wrong,284
633,ads,283
634,thats,283
635,providing,281
636,relationship,281
637,bulk,280
638,standards,280
639,denied,279
640,reported,278
641,person,278
642,sabotage,278
643,anal,278
644,usersclaims,277
645,fueron,277
646,exclusive,277
647,guy,276
648,buried,276
649,research,275
650,pages,275
651,eileendefreest,274
652,november,273
653,era,273
654,manchester,273
655,marketing,273
656,analyticafacebook,272
657,adviser,272
658,thehill,272
659,buhari,271
660,leak,271
661,washingtonpost,271
662,gilesparscale,270
663,libyan,269
664,carole,269
665,woman,269
666,httpstcocwvorhsra,269
667,suicide,268
668,bomber,268
669,twi,267
670,ajplus,267
671,demand,266
672,rvawonks,266
673,update,265
674,exp,264
675,sets,263
676,revel,262
677,slate,262
678,reread,261
679,guyverhofstadt,261
680,gotten,260
681,scottish,260
682,gets,260
683,private,260
684,faile,259
685,war,259
686,internet,258
687,nigerian,258
688,stored,258
689,party,257
690,claimed,257
691,hero,257
692,deletefacebook,256
693,humiliation,254
694,vet,253
695,httpstcoaxpxp,253
696,fairvote,253
697,analy,253
698,continues,252
699,revistaproceso,251
700,website,251
701,abc,251
702,cnet,250
703,bragging,250
704,shortly,250
705,undertake,250
706,chris,249
707,exceed,249
708,principals,249
709,marekadochnal,249
710,idiotism,249
711,abyss,249
712,vital,248
713,house,247
714,doesnt,247
715,laws,246
716,head,246
717,start,245
718,kos,245
719,koch,245
720,report,242
721,clip,241
722,sobre,240
723,compared,240
724,invented,240
725,meetthepress,240
726,delete,240
727,snl,237
728,yet,236
729,account,236
730,ive,235
731,independent,235
732,always,234
733,mistakes,233
734,confirmed,233
735,leaked,232
736,renew,232
737,httpstcozwziwn,232
738,australia,231
739,understand,229
740,chrisnotmypotus,229
741,help,229
742,met,228
743,shuboogie,228
744,pro,226
745,shareblue,225
746,seeing,225
747,companies,224
748,camb,224
749,little,224
750,april,223
751,possible,221
752,voter,221
753,httpstcoyyycbsndw,221
754,cadwalladr,219
755,las,218
756,jenarovillamil,218
757,informacin,218
758,torsh,218
759,thanking,218
760,asking,217
761,today,217
762,months,217
763,nigelfarage,217
764,mundo,217
765,following,217
766,wake,215
767,cant,215
768,wonder,215
769,certain,215
770,worth,215
771,cambr,214
772,image,213
773,victorfyt,213
774,action,212
775,technology,212
776,couldnt,211
777,model,211
778,end,211
779,obtained,211
780,saying,210
781,quietly,209
782,classaction,209
783,assange,209
784,advisor,208
785,rwpusa,207
786,clearly,207
787,journalists,207
788,yang,206
789,comisin,206
790,skripal,205
791,illegal,205
792,presidente,204
793,europeos,204
794,audited,204
795,nuclear,203
796,camanalytica,202
797,rachel,202
798,und,201
799,tell,201
800,canada,201
801,libertad,200
802,haba,200
803,behind,200
804,building,200
805,dan,199
806,httpstcopb,199
807,conspiracy,198
808,negligence,198
809,youve,198
810,half,198
811,fight,198
812,diputados,198
813,cmara,198
814,expresin,197
815,shehzadind,197
816,citado,197
817,leopoldo,197
818,repr,197
819,myanmar,197
820,privacidade,197
