text,size
said,209
trump,159
president,93
new,88
border,83
states,70
would,66
page,60
white,57
house,57
years,53
united,50
think,49
tuesday,49
year,48
state,48
national,47
also,46
administration,46
york,45
people,45
standards,43
last,42
pruitt,41
king,40
please,39
one,38
like,36
american,36
washington,35
campaign,35
times,35
obama,33
trumps,32
mexico,32
time,31
california,31
military,31
tell,31
could,31
first,30
percent,30
home,30
must,29
interested,29
since,29
many,28
law,28
federal,28
get,28
two,27
april,27
rights,27
country,27
monday,26
see,26
brown,26
guard,26
back,25
wine,25
feedback,25
epa,24
general,24
including,24
women,24
youre,24
prison,24
going,23
say,23
political,23
newsletter,23
still,23
cars,23
former,23
even,23
officials,23
email,23
group,22
view,22
box,22
address,22
month,21
days,21
central,21
made,21
week,21
war,21
security,20
twitter,20
newsletters,20
act,20
court,20
civil,20
congress,20
rules,20
report,20
democratic,19
nations,19
clicking,19
select,19
invalid,19
staff,19
part,19
use,19
set,19
subscribe,19
day,19
verify,19
secretary,19
wall,19
members,19
office,19
robot,19
reenter,19
caravan,18
putin,18
news,18
less,18
memphis,18
kla,18
emissions,18
according,18
business,18
article,17
european,17
inmates,17
called,17
troops,17
support,17
census,17
chief,17
china,17
meeting,17
pruitts,17
told,17
kosovo,17
leader,17
republican,16
long,16
chinese,16
live,16
migrants,16
presidents,16
kings,16
barack,16
recent,16
countries,16
edt,16
well,16
reporting,16
waiver,15
whether,15
trucks,15
donald,15
asked,15
really,15
order,15
laws,15
leaders,15
make,15
might,14
inmate,14
reporters,14
later,14
hes,14
todays,14
look,14
may,14
run,14
private,14
mexican,14
several,14
economy,14
forces,14
amazon,14
place,14
nation,14
want,14
mississippi,14
number,14
plan,13
way,13
agency,13
associated,13
company,13
call,13
top,13
sent,13
much,13
market,13
morning,13
union,13
ago,13
left,13
past,13
dont,13
guards,13
david,12
environmental,12
light,12
among,12
protection,12
march,12
east,12
came,12
southern,12
end,12
night,12
black,12
big,12
version,12
began,12
obamaera,12
official,12
fuel,12
around,12
sign,12
question,12
race,12
world,12
issues,12
congressional,12
holder,12
today,12
know,12
come,12
luther,11
whose,11
policy,11
toward,11
george,11
thats,11
good,11
violence,11
air,11
scott,11
government,11
miles,11
automakers,11
public,11
fact,11
efforts,11
job,11
speech,11
syria,11
case,11
major,11
earlier,11
making,11
far,11
strategy,11
martin,11
attorney,11
john,10
online,10
wanted,10
old,10
every,10
islamic,10
climate,10
thought,10
californias,10
children,10
head,10
health,10
center,10
economic,10
cases,10
message,10
russia,10
russian,10
used,10
bush,10
presidential,10
life,10
illegal,10
building,10
briefing,10
nearly,10
never,10
prisons,10
legal,10
administrations,10
america,10
work,10
appears,10
young,10
americans,10
accused,10
hope,9
vehicle,9
three,9
print,9
heres,9
led,9
little,9
special,9
man,9
person,9
reports,9
cut,9
hong,9
honduras,9
done,9
cant,9
papersubscribe,9
evidence,9
questions,9
headline,9
using,9
progress,9
bottles,9
workers,9
enforcement,9
room,9
take,9
men,9
crimes,9
prisoners,9
campaigns,9
nicks,9
department,9
issue,9
known,9
described,9
despite,9
decision,9
international,9
things,9
jeff,9
move,9
director,9
clean,9
davis,9
james,9
press,9
foreign,9
justice,9
buy,9
statement,9
defense,9
calling,9
keep,9
devils,9
become,9
critical,8
billion,8
theyre,8
secure,8
senior,8
expensive,8
crowd,8
found,8
put,8
worked,8
taking,8
management,8
plans,8
wrote,8
conversation,8
fight,8
singer,8
per,8
pub,8
though,8
visit,8
lot,8
service,8
best,8
focus,8
future,8
father,8
announced,8
another,8
follow,8
system,8
trial,8
harlem,8
met,8
closed,8
lawmakers,8
often,8
customers,8
reprints,8
across,8
change,8
spent,8
late,8
surveillance,8
training,8
actor,8
regulations,8
kong,8
isnt,8
money,8
assault,8
months,8
kelly,8
space,8
conservative,8
raised,8
wants,8
average,8
racial,8
ended,8
policies,8
