text,size
said,209
trump,159
president,93
new,88
border,83
states,70
would,66
page,60
house,57
white,57
years,53
united,50
think,49
tuesday,49
year,48
state,48
national,47
administration,46
also,46
york,45
people,45
standards,43
last,42
pruitt,41
king,40
please,39
one,38
like,36
american,36
times,35
campaign,35
washington,35
obama,33
mexico,32
trumps,32
military,31
tell,31
could,31
time,31
california,31
home,30
percent,30
first,30
must,29
since,29
interested,29
law,28
many,28
get,28
federal,28
april,27
rights,27
country,27
two,27
brown,26
guard,26
see,26
monday,26
back,25
feedback,25
wine,25
youre,24
including,24
general,24
women,24
epa,24
prison,24
newsletter,23
cars,23
political,23
going,23
officials,23
even,23
former,23
still,23
say,23
box,22
view,22
group,22
address,22
central,21
made,21
days,21
week,21
month,21
war,21
report,20
rules,20
twitter,20
newsletters,20
act,20
civil,20
congress,20
court,20
office,19
wall,19
set,19
subscribe,19
secretary,19
members,19
use,19
democratic,19
reenter,19
staff,19
robot,19
clicking,19
nations,19
select,19
day,19
part,19
verify,19
invalid,19
kla,18
according,18
less,18
putin,18
memphis,18
business,18
news,18
caravan,18
emissions,18
meeting,17
told,17
leader,17
kosovo,17
census,17
support,17
pruitts,17
called,17
article,17
troops,17
inmates,17
chief,17
european,17
china,17
countries,16
reporting,16
edt,16
presidents,16
barack,16
recent,16
well,16
republican,16
chinese,16
live,16
long,16
kings,16
migrants,16
laws,15
leaders,15
whether,15
really,15
trucks,15
waiver,15
donald,15
order,15
asked,15
make,15
several,14
forces,14
nation,14
later,14
todays,14
economy,14
private,14
mississippi,14
inmate,14
place,14
look,14
run,14
mexican,14
reporters,14
might,14
want,14
amazon,14
may,14
number,14
hes,14
plan,13
morning,13
market,13
way,13
left,13
associated,13
much,13
call,13
top,13
company,13
union,13
past,13
sent,13
agency,13
guards,13
dont,13
ago,13
night,12
version,12
march,12
holder,12
race,12
question,12
protection,12
today,12
around,12
issues,12
world,12
come,12
black,12
obamaera,12
big,12
david,12
fuel,12
light,12
began,12
among,12
sign,12
came,12
east,12
southern,12
know,12
congressional,12
end,12
environmental,12
official,12
air,11
automakers,11
strategy,11
scott,11
public,11
george,11
good,11
fact,11
luther,11
government,11
attorney,11
major,11
policy,11
far,11
making,11
case,11
efforts,11
speech,11
martin,11
earlier,11
miles,11
job,11
toward,11
violence,11
thats,11
whose,11
building,10
appears,10
russia,10
administrations,10
nearly,10
illegal,10
presidential,10
health,10
head,10
prisons,10
young,10
john,10
center,10
bush,10
never,10
legal,10
cases,10
californias,10
accused,10
online,10
economic,10
islamic,10
climate,10
used,10
old,10
life,10
wanted,10
russian,10
americans,10
work,10
every,10
america,10
message,10
thought,10
briefing,10
children,10
headline,9
calling,9
justice,9
move,9
davis,9
keep,9
press,9
buy,9
things,9
enforcement,9
room,9
become,9
nicks,9
men,9
prisoners,9
print,9
evidence,9
known,9
bottles,9
special,9
progress,9
person,9
despite,9
jeff,9
campaigns,9
using,9
james,9
reports,9
issue,9
devils,9
described,9
cut,9
workers,9
department,9
defense,9
clean,9
international,9
decision,9
little,9
statement,9
director,9
papersubscribe,9
heres,9
cant,9
crimes,9
three,9
led,9
take,9
questions,9
man,9
hong,9
done,9
vehicle,9
foreign,9
hope,9
honduras,9
visit,8
father,8
service,8
money,8
secure,8
senior,8
future,8
best,8
follow,8
billion,8
months,8
fight,8
found,8
kong,8
expensive,8
taking,8
put,8
surveillance,8
customers,8
system,8
racial,8
crowd,8
though,8
singer,8
critical,8
raised,8
lawmakers,8
kelly,8
theyre,8
late,8
training,8
isnt,8
closed,8
regulations,8
pub,8
trial,8
lot,8
reprints,8
change,8
conversation,8
management,8
spent,8
space,8
harlem,8
something,8
ended,8
met,8
conservative,8
focus,8
policies,8
another,8
additional,8
per,8
wrote,8
across,8
average,8
wants,8
worked,8
assault,8
often,8
announced,8
actor,8
plans,8
