text,size
new york,25
york times,14
page tell,13
home page,13
tax cuts,13
national guard,13
fair housing,13
feedback page,13
please reenter,11
last year,11
view new,11
times newsletters,11
must select,11
address please,11
reenter must,11
please verify,11
guard members,10
security detail,9
last month,8
united states,8
epa official,8
barack obama,8
supreme court,7
appeals court,7
donald trump,7
page new,7
housing act,7
trump administration,7
border patrol,6
president donald,6
former president,6
page associated,5
york edition,5
scott pruitt,5
years ago,5
obama administration,5
guard troops,5
said statement,5
president barack,5
forprofit colleges,5
april page,5
pruitts security,5
colleges universities,4
took office,4
security spending,4
two years,4
many people,4
president obama,4
said pruitt,4
higher education,4
eviction rates,4
page supported,4
trump said,4
york city,4
public schools,4
islamic state,4
law firms,4
law professor,4
public housing,4
court records,4
accountability office,4
said epa,3
billion year,3
law enforcement,3
federal government,3
southern border,3
president trump,3
year according,3
hill said,3
forprofit schools,3
affordable housing,3
president trumps,3
first year,3
chancellor new,3
follow new,3
federal court,3
trump campaign,3
support president,3
million people,3
education department,3
article page,3
federal money,3
home state,3
page document,3
legal aid,3
six years,3
trump took,3
state senator,3
gross tax,3
many places,3
medicaid would,3
court judges,3
pruitt said,3
could make,3
times opinion,3
selective colleges,3
obama said,3
four years,3
official said,3
president said,3
trump trump,2
epa security,2
members could,2
epa chief,2
silva taken,2
university said,2
poor people,2
using federal,2
epa documents,2
bush said,2
silva left,2
mexico border,2
vice president,2
said cramer,2
said changed,2
campos law,2
trumps tax,2
bridgepoint education,2
mccargar former,2
brazilian president,2
said devos,2
two republican,2
usmexico border,2
career education,2
virginia one,2
environmental law,2
corinthian colleges,2
state federal,2
elite schools,2
pruitt received,2
legal experts,2
ticket epa,2
three years,2
three times,2
pruitt family,2
pruitt filed,2
democratic republican,2
saturday trump,2
could change,2
represent president,2
tax form,2
company epa,2
tax code,2
could sway,2
states two,2
pruitts predecessor,2
last time,2
court appeals,2
recent years,2
court said,2
students schools,2
raised percent,2
housing vouchers,2
legal justification,2
president luiz,2
college students,2
trump raised,2
house said,2
housing authority,2
southwest border,2
education journalist,2
press office,2
trump chance,2
trump called,2
lowincome students,2
housing goals,2
college tours,2
housing urban,2
trips home,2
dozen states,2
levy former,2
state local,2
legal team,2
top law,2
housing projects,2
doesnt work,2
district court,2
state oklahoma,2
epa senior,2
silva popular,2
federal officials,2
federal student,2
office management,2
eviction records,2
first former,2
secretary housing,2
said referring,2
new data,2
said guard,2
said interview,2
percent contributions,2
eviction lab,2
black people,2
apprehensions percent,2
eviction judgments,2
eviction isnt,2
schools graduating,2
segregation housing,2
within epa,2
operation guard,2
office problems,2
franciscobased court,2
federal aid,2
year sentence,2
attend college,2
people less,2
security company,2
work requirements,2
years earlier,2
security chief,2
oval office,2
said richard,2
people could,2
would require,2
federal housing,2
said please,2
said saturday,2
said would,2
federal policies,2
would turn,2
said forprofit,2
actions epa,2
peace said,2
accompanied pruitt,2
percent less,2
former brazilian,2
federal police,2
across country,2
federal judiciary,2
former chancellor,2
wealthy people,2
perrotta also,2
analyst epa,2
saying could,2
according epa,2
border crossings,2
also signed,2
obama received,2
said week,2
serving year,2
said going,2
school law,2
mujica said,2
would take,2
percent migrant,2
seven years,2
federal insistence,2
must end,2
republican expansion,1
republican delegate,1
republican attorneys,1
republican budget,1
republican chairman,1
republican conservative,1
republican decision,1
republican democratic,1
said receive,1
said santoro,1
republican favored,1
said result,1
said report,1
republican highlight,1
said relapsed,1
republican lawmakers,1
republican majority,1
said received,1
republican administrations,1
said potential,1
republican nominees,1
republican fundraiser,1
said email,1
republican activist,1
refusing work,1
refusal many,1
said time,1
reforms must,1
reflect states,1
said total,1
referring office,1
said troops,1
said trying,1
said use,1
said wanted,1
redevelopment housing,1
said worried,1
recent republican,1
receiving percent,1
receiving federal,1
received percent,1
received new,1
receive federal,1
said wouldnt,1
reality please,1
reagans tax,1
refused pruitts,1
regulation said,1
report last,1
regulation would,1
replaced epa,1
replace president,1
renting housing,1
said scientist,1
said sealing,1
rent home,1
said silvia,1
reminded country,1
said since,1
said still,1
remarkable percent,1
republican opposition,1
remains republican,1
said thing,1
relying legal,1
relief law,1
relief former,1
regulations would,1
said things,1
regulations legal,1
regulations also,1
remake court,1
said perrotta,1
republican party,1
said kathleen,1
said believes,1
said happens,1
said hard,1
said believed,1
said beating,1
said havent,1
said bad,1
said backed,1
said heitkamp,1
said arthur,1
said arrived,1
said individuals,1
said interested,1
said amy,1
said america,1
safety security,1
said investigation,1
said james,1
running president,1
run year,1
run president,1
said cared,1
said group,1
ratings home,1
said democracy,1
said eviction,1
said elora,1
said dramatically,1
said dont,1
said expected,1
said doesnt,1
said federal,1
said fernando,1
said figured,1
said filing,1
said gently,1
said first,1
said decades,1
said fix,1
said dangerous,1
said forprofits,1
said complying,1
said coming,1
said chip,1
said friday,1
said jonathan,1
said katie,1
republican presidents,1
said lack,1
revenue students,1
revenue federal,1
retaliation new,1
resumes said,1
result many,1
restore security,1
said orlando,1
rest federal,1
said pentagon,1
responsible percent,1
responsible federal,1
resort also,1
resolve federal,1
said erika,1
required state,1
republicans state,1
republican state,1
republican senators,1
republican senate,1
said pleased,1
republican primary,1
said operations,1
revesz said,1
review guard,1
said levar,1
ruling housing,1
said last,1
rules said,1
rules pruitt,1
rule trump,1
roosevelts new,1
rollback page,1
said legitimate,1
said leonard,1
roanoke times,1
review pruitts,1
said likes,1
said little,1
said lost,1
said making,1
said many,1
rivals also,1
said martin,1
said mexico,1
richmond one,1
ravaged country,1
access legal,1
rates country,1
people typically,1
people represented,1
people running,1
people saving,1
people segregating,1
people showing,1
people suburban,1
people visit,1
ran federal,1
people voted,1
people whove,1
people work,1
percent border,1
percent creating,1
percent eviction,1
people provoked,1
people president,1
people partys,1
people outside,1
people moved,1
people means,1
people lost,1
people jointly,1
people jobs,1
people honduras,1
people hes,1
people hard,1
people greatest,1
people great,1
people good,1
people going,1
people get,1
percent federal,1
percent income,1
percent increase,1
philosophy would,1
policies tax,1
police epa,1
police also,1
plunged trump,1
plotted college,1
please stop,1
please lets,1
please email,1
plant one,1
planning new,1
plane pruitts,1
places people,1
places eviction,1
phone court,1
peterson said,1
percent lower,1
personal many,1
perrottas security,1
perrotta former,1
period new,1
percent went,1
percent students,1
percent revenue,1
percent received,1
percent previous,1
percent poverty,1
percent percent,1
percent parent,1
percent overall,1
percent marijuana,1
people friday,1
people especially,1
people ensnared,1
one saddles,1
ordered said,1
ordered epa,1
options students,1
opposition work,1
openings one,1
openings last,1
open housing,1
onethird said,1
ones court,1
one worlds,1
one vote,1
one thing,1
one states,1
one side,1
one restrictive,1
ortiz said,1
one renter,1
one remembers,1
one remarkable,1
one regardless,1
one question,1
one problem,1
one presidents,1
one poorest,1
one particularly,1
one page,1
one oval,1
one nobody,1
one nine,1
one mistake,1
organizers said,1
otherwise tax,1
people displaced,1
pay college,1
people dead,1
people cross,1
people criminal,1
people cried,1
people counterproductive,1
people color,1
people car,1
people billions,1
people around,1
people able,1
pentagon would,1
peak president,1
peaces office,1
pay states,1
past years,1
oversees many,1
passed many,1
pass tax,1
pass state,1
party could,1
parttime security,1
partner pruitt,1
paid states,1
page trip,1
page one,1
page manuela,1
page growing,1
page coral,1
page article,1
overtime many,1
policy said,1
politician also,1
polls state,1
pruitt flew,1
pruitt president,1
pruitt one,1
pruitt met,1
pruitt made,1
pruitt interested,1
pruitt including,1
pruitt illegally,1
pruitt home,1
pruitt hired,1
pruitt great,1
pruitt got,1
pruitt garnered,1
pruitt frequently,1
pruitt fly,1
pruitt faced,1
pruitt send,1
pruitt epas,1
pruitt epa,1
pruitt entourage,1
pruitt done,1
pruitt devil,1
pruitt demoted,1
pruitt closely,1
pruitt chose,1
pruitt chief,1
pruitt called,1
pruitt baseball,1
pruitt barnstormed,1
pruitt avoiding,1
pruitt apparently,1
pruitt puts,1
pruitt sent,1
pruitt according,1
pruitts modus,1
rampant many,1
quickly must,1
quartercentury would,1
quality education,1
put federal,1
pushing college,1
pull could,1
pruitts work,1
pruitts safety,1
pruitts relentless,1
pruitts president,1
pruitts premium,1
pruitts ouster,1
pruitts office,1
pruitts haste,1
pruitt sometimes,1
pruitts flew,1
pruitts expansive,1
pruitts ethical,1
pruitts efforts,1
pruitts demand,1
pruitts critics,1
pruitts court,1
pruitts concern,1
pruitts ambitious,1
pruitt working,1
pruitt visited,1
pruitt tweet,1
pruitt traveled,1
pruitt targeting,1
pruitt also,1
pruitt accompanied,1
poor college,1
president client,1
president plays,1
president perrottas,1
president obamas,1
president misrepresented,1
president michel,1
president meanwhile,1
president institute,1
president highest,1
president hes,1
president held,1
president got,1
president federalist,1
president enrique,1
president convicted,1
president career,1
president relying,1
president cabot,1
president always,1
president administrator,1
predecessor said,1
precisely legal,1
precautions pruitt,1
preapplication college,1
praised pruitts,1
