text,size
said,209
trump,159
president,93
new,88
border,83
states,70
would,66
page,60
white,57
house,57
years,53
united,50
tuesday,49
think,49
year,48
state,48
national,47
administration,46
also,46
people,45
york,45
standards,43
last,42
pruitt,41
king,40
please,39
one,38
like,36
american,36
times,35
campaign,35
washington,35
obama,33
trumps,32
mexico,32
could,31
california,31
military,31
tell,31
home,30
first,30
percent,30
must,29
interested,29
since,29
federal,28
get,28
many,28
two,27
april,27
rights,27
country,27
monday,26
brown,26
guard,26
see,26
wine,25
back,25
feedback,25
general,24
epa,24
youre,24
women,24
prison,24
including,24
former,23
even,23
newsletter,23
still,23
say,23
political,23
officials,23
going,23
cars,23
view,22
address,22
box,22
group,22
month,21
days,21
made,21
central,21
war,21
week,21
court,20
congress,20
civil,20
act,20
twitter,20
report,20
newsletters,20
wall,19
nations,19
subscribe,19
part,19
staff,19
invalid,19
set,19
members,19
reenter,19
select,19
office,19
day,19
use,19
verify,19
clicking,19
democratic,19
robot,19
memphis,18
less,18
putin,18
news,18
according,18
emissions,18
business,18
kla,18
caravan,18
article,17
told,17
census,17
china,17
support,17
european,17
kosovo,17
leader,17
chief,17
troops,17
called,17
inmates,17
republican,16
reporting,16
presidents,16
live,16
recent,16
barack,16
long,16
countries,16
chinese,16
edt,16
migrants,16
well,16
kings,16
really,15
order,15
make,15
trucks,15
leaders,15
waiver,15
donald,15
whether,15
laws,15
asked,15
run,14
reporters,14
mexican,14
forces,14
look,14
economy,14
hes,14
might,14
may,14
want,14
inmate,14
amazon,14
nation,14
place,14
several,14
mississippi,14
later,14
todays,14
number,14
guards,13
past,13
ago,13
top,13
agency,13
left,13
plan,13
market,13
company,13
morning,13
much,13
call,13
way,13
dont,13
associated,13
sent,13
union,13
david,12
know,12
world,12
congressional,12
came,12
southern,12
holder,12
march,12
sign,12
today,12
east,12
light,12
around,12
obamaera,12
night,12
fuel,12
question,12
come,12
black,12
issues,12
end,12
environmental,12
version,12
began,12
among,12
big,12
protection,12
race,12
official,12
case,11
making,11
thats,11
government,11
whose,11
violence,11
speech,11
earlier,11
major,11
far,11
strategy,11
attorney,11
good,11
fact,11
luther,11
toward,11
job,11
martin,11
policy,11
miles,11
efforts,11
george,11
air,11
scott,11
america,10
administrations,10
work,10
building,10
bush,10
never,10
old,10
young,10
russia,10
russian,10
islamic,10
head,10
legal,10
thought,10
nearly,10
accused,10
californias,10
center,10
online,10
health,10
americans,10
wanted,10
message,10
climate,10
children,10
life,10
cases,10
briefing,10
every,10
used,10
economic,10
presidential,10
prisons,10
appears,10
illegal,10
john,10
press,9
director,9
despite,9
men,9
justice,9
move,9
campaigns,9
calling,9
done,9
become,9
defense,9
devils,9
decision,9
using,9
department,9
described,9
statement,9
cut,9
vehicle,9
nicks,9
heres,9
hong,9
little,9
bottles,9
cant,9
davis,9
known,9
person,9
buy,9
honduras,9
reports,9
crimes,9
take,9
hope,9
progress,9
foreign,9
special,9
papersubscribe,9
questions,9
issue,9
clean,9
print,9
enforcement,9
led,9
jeff,9
man,9
headline,9
evidence,9
international,9
three,9
room,9
workers,9
keep,9
james,9
things,9
secure,8
another,8
change,8
harlem,8
additional,8
follow,8
pub,8
isnt,8
met,8
father,8
future,8
crowd,8
surveillance,8
singer,8
management,8
something,8
kelly,8
training,8
announced,8
space,8
visit,8
ended,8
service,8
plans,8
raised,8
though,8
focus,8
wrote,8
regulations,8
best,8
per,8
system,8
often,8
lawmakers,8
months,8
critical,8
average,8
conversation,8
across,8
assault,8
found,8
trial,8
money,8
theyre,8
taking,8
senior,8
worked,8
fight,8
policies,8
put,8
wants,8
expensive,8
billion,8
late,8
lot,8
kong,8
racial,8
customers,8
actor,8
spent,8
conservative,8
reprints,8
subsidies,7
flag,7
movement,7
patrol,7
texas,7
name,7
believe,7
share,7
takes,7
music,7
words,7
idea,7
